first_name,last_name,middle_initial,date_of_birth,date_of_death,ssn,verification,Age
Jennifer,Williams,U,1975-11-15,1999-10-29,7346810afb08c98fdd0d9d1fb74062477-9556,Verified,47
David,Thomas,Q,1929-12-25,2007-12-03,f231bd69d62cefddced58648772a99497-0135,Verified,93
Jane,Brown,H,1981-09-08,2004-06-28,92e228cd908cd1094dc10515494771d15-7484,Verified,41
David,Doe,V,1960-01-14,1963-12-25,a7168c52ed635e970f6ce6d8582c4aca6-4897,Verified,63
Jane,Brown,D,1959-08-08,1965-08-16,14771c9443a256d40ebae674d616e6604-5732,Verified,63
Jennifer,Doe,D,2007-01-09,2013-10-27,a3727ff0cf82ce35775882e6934ad1dc6-7918,Verified,16
David,Williams,V,1966-04-11,2023-04-24,2a6bd53041ad93b2ed1d829f168ecf8a7-2917,Verified,57
John,Brown,O,1971-12-04,1981-12-15,375db9a753d00eef727b1651690689421-3935,Verified,51
John,Brown,P,1982-07-10,1984-07-23,de8fe83182de7b04374e4c30a102b21e1-1068,Verified,40
Jane,Brown,X,1961-05-15,2018-12-17,5611ea54117b784f155497b59b6ebca49-2855,Verified,62
David,Thomas,X,1919-03-10,1943-03-08,1eebba8d9a2666db58ab0eccafdbba4b2-2662,Verified,104
Emily,Anderson,T,1990-03-08,2002-05-27,b02ffb287263941d29121e2d0b3b29996-4684,Verified,33
Amanda,Brown,C,2022-06-14,2022-11-20,92b88c04de37c5b0e23fdfb87cb796f43-2885,Verified,0
Amanda,Smith,T,1986-10-28,1995-05-08,0decbcbec03cd09307a6b4bcb3c6405d1-1727,Verified,36
Jennifer,Thomas,Z,1906-12-24,1919-06-30,a6578c8cfcea3181d05490eff241b8af0-9305,Verified,116
Michael,Brown,E,1959-09-24,1995-06-19,17dc059c90443fbce49b2db857b9a93c2-7235,Verified,63
Amanda,Doe,T,1983-08-04,2013-03-15,55f6def0a84e65a44a1ee4830ab301569-0908,Verified,39
Jane,Johnson,O,1967-01-09,1974-09-02,3c4d46360306877225db44fc5337aef49-7559,Verified,56
Jane,Smith,B,1949-12-23,2011-09-07,88159aa26bbe26f7d85551fb3ecff9669-2689,Verified,73
Jennifer,Smith,F,1927-09-18,2009-04-01,230704c44de3b1506d149b1fc18b23976-7539,Verified,95
Emily,Thomas,P,2013-03-07,2014-12-07,793ddb6a2cdcdf2c7f25af14721f0a488-3266,Verified,10
Michael,Johnson,U,1953-07-17,1958-05-18,eb96ee275edda53f8a03e711779874904-3683,Verified,69
Jane,Thomas,H,1961-08-08,1990-07-02,dc72f96018f6c99fd8c90d6bb0c293933-9053,Verified,61
Christopher,Anderson,D,1974-05-18,1985-06-12,2f585e3fc6183a6a74c6323d282488f28-6557,Verified,49
Michael,Brown,Q,1944-04-06,1995-01-20,47a0227da93d11067d88281c818830db1-6016,Verified,79
Jane,Brown,H,1901-06-30,1910-06-21,d7bab2261e628961eb3f95d560c00d514-5013,Verified,121
